256,0.357771,1000
0,0,0.0210453,0.0210453
0,0,0.0420907,0.0210453
0,0,0.063136,0.0210453
0,0,0.0841814,0.0210453
0,0,0.105227,0.0210453
0,0,0.126272,0.0210453
0,0,0.147317,0.0210453
0,0,0.168363,0.0210453
0,0,0.0210453,0.0420907
0,0,0.0420907,0.0420907
0,0,0.063136,0.0420907
0,0,0.0841814,0.0420907
0,0,0.105227,0.0420907
0,0,0.126272,0.0420907
0,0,0.147317,0.0420907
0,0,0.168363,0.0420907
0,0,0.0210453,0.063136
0,0,0.0420907,0.063136
0,0,0.063136,0.063136
0,0,0.0841814,0.063136
0,0,0.105227,0.063136
0,0,0.126272,0.063136
0,0,0.147317,0.063136
0,0,0.168363,0.063136
0,0,0.0210453,0.0841814
0,0,0.0420907,0.0841814
0,0,0.063136,0.0841814
0,0,0.0841814,0.0841814
0,0,0.105227,0.0841814
0,0,0.126272,0.0841814
0,0,0.147317,0.0841814
0,0,0.168363,0.0841814
0,0,0.0210453,0.105227
0,0,0.0420907,0.105227
0,0,0.063136,0.105227
0,0,0.0841814,0.105227
0,0,0.105227,0.105227
0,0,0.126272,0.105227
0,0,0.147317,0.105227
0,0,0.168363,0.105227
0,0,0.0210453,0.126272
0,0,0.0420907,0.126272
0,0,0.063136,0.126272
0,0,0.0841814,0.126272
0,0,0.105227,0.126272
0,0,0.126272,0.126272
0,0,0.147317,0.126272
0,0,0.168363,0.126272
0,0,0.0210453,0.147317
0,0,0.0420907,0.147317
0,0,0.063136,0.147317
0,0,0.0841814,0.147317
0,0,0.105227,0.147317
0,0,0.126272,0.147317
0,0,0.147317,0.147317
0,0,0.168363,0.147317
0,0,0.0210453,0.168363
0,0,0.0420907,0.168363
0,0,0.063136,0.168363
0,0,0.0841814,0.168363
0,0,0.105227,0.168363
0,0,0.126272,0.168363
0,0,0.147317,0.168363
0,0,0.168363,0.168363
2,0,0.0212415,0.0208165
2,0,0.0419306,0.0209176
2,0,0.0641222,0.0210985
2,0,0.0833043,0.0220071
2,0,0.10566,0.0214347
2,0,0.126683,0.0215588
2,0,0.146976,0.0203294
2,0,0.168023,0.0215773
2,0,0.0208094,0.0424351
2,0,0.0416657,0.0419045
2,0,0.0636717,0.0417489
2,0,0.084067,0.0422112
2,0,0.10455,0.0430115
2,0,0.126284,0.0428925
2,0,0.147414,0.0422088
2,0,0.168499,0.0419598
2,0,0.0219018,0.0624561
2,0,0.0415907,0.0627609
2,0,0.0628393,0.0638982
2,0,0.0844133,0.0640464
2,0,0.104742,0.0639521
2,0,0.127089,0.0626028
2,0,0.147948,0.0631418
2,0,0.168346,0.062538
2,0,0.0214414,0.0839812
2,0,0.0415905,0.084678
2,0,0.0626181,0.0844572
2,0,0.0846931,0.0838385
2,0,0.106011,0.0839567
2,0,0.126454,0.0831988
2,0,0.147465,0.084676
2,0,0.167449,0.0834423
2,0,0.0200945,0.104444
2,0,0.0426474,0.10477
2,0,0.0627954,0.105183
2,0,0.0840764,0.104678
2,0,0.104655,0.105598
2,0,0.126572,0.104235
2,0,0.146821,0.105268
2,0,0.169131,0.104385
2,0,0.0216738,0.126511
2,0,0.0416071,0.125607
2,0,0.0631126,0.126983
2,0,0.0851638,0.125534
2,0,0.105703,0.126402
2,0,0.127054,0.126801
2,0,0.147523,0.127159
2,0,0.167835,0.126901
2,0,0.0201204,0.148175
2,0,0.0428227,0.148018
2,0,0.063462,0.147928
2,0,0.0842682,0.147314
2,0,0.104715,0.147119
2,0,0.126249,0.147142
2,0,0.146822,0.147319
2,0,0.168571,0.148189
2,0,0.0200758,0.167751
2,0,0.0411732,0.168254
2,0,0.0635433,0.167456
2,0,0.0834178,0.167407
2,0,0.105291,0.16759
2,0,0.125896,0.167781
2,0,0.147907,0.168157
2,0,0.168812,0.167489
4,0,0.146634,0.0196135
4,0,0.0214376,0.0205876
4,0,0.0417704,0.0207899
4,0,0.0651083,0.0211516
4,0,0.0824272,0.0229688
4,0,0.106094,0.021824
4,0,0.127093,0.0220723
4,0,0.167684,0.0221092
4,0,0.0205735,0.0427794
4,0,0.0412407,0.0417183
4,0,0.0642074,0.0414072
4,0,0.0839527,0.0423318
4,0,0.103874,0.0439323
4,0,0.126297,0.0436944
4,0,0.14751,0.042327
4,0,0.168635,0.041829
4,0,0.0227582,0.0617762
4,0,0.0410907,0.0623858
4,0,0.0625425,0.0646604
4,0,0.0846453,0.0649567
4,0,0.104257,0.0647681
4,0,0.127905,0.0620695
4,0,0.148579,0.0631475
4,0,0.16833,0.06194
4,0,0.0218374,0.083781
4,0,0.0410902,0.0851745
4,0,0.0621002,0.0847331
4,0,0.0852049,0.0834957
4,0,0.106796,0.0837321
4,0,0.126635,0.0822162
4,0,0.147612,0.0851706
4,0,0.166535,0.0827032
4,0,0.0191436,0.103662
4,0,0.0432041,0.104313
4,0,0.0624547,0.10514
4,0,0.0839714,0.104129
4,0,0.104084,0.105969
4,0,0.126871,0.103244
4,0,0.146325,0.105309
4,0,0.169899,0.103543
4,0,0.0223022,0.126751
4,0,0.0411235,0.124942
4,0,0.0630891,0.127694
4,0,0.0861462,0.124795
4,0,0.106179,0.126531
4,0,0.127837,0.12733
4,0,0.147728,0.128045
4,0,0.167307,0.127529
4,0,0.0191955,0.149032
4,0,0.0435548,0.14872
4,0,0.063788,0.148538
4,0,0.0843549,0.147311
4,0,0.104204,0.146921
4,0,0.126225,0.146967
4,0,0.146327,0.14732
4,0,0.168779,0.14906
4,0,0.0191062,0.167139
4,0,0.0402556,0.168144
4,0,0.0639506,0.166549
4,0,0.0826543,0.166451
4,0,0.105354,0.166818
4,0,0.12552,0.167199
4,0,0.148496,0.167951
4,0,0.169262,0.166616
6,0,0.146292,0.0188975
6,0,0.0216337,0.0203588
6,0,0.0416103,0.0206621
6,0,0.0660945,0.0212048
6,0,0.0815501,0.0239305
6,0,0.106528,0.0222134
6,0,0.127503,0.0225857
6,0,0.167344,0.0226411
6,0,0.0203376,0.0431238
6,0,0.0408157,0.0415321
6,0,0.0647431,0.0410654
6,0,0.0838384,0.0424523
6,0,0.103197,0.0448532
6,0,0.126309,0.0444962
6,0,0.147606,0.0424451
6,0,0.168772,0.0416981
