256,0.357771,1000
26,0,0.0346882,0.033954
26,0,0.0503915,0.0437829
26,0,0.0775985,0.0598615
26,0,0.0178814,0.0628552
26,0,0.0316447,0.0684428
26,0,0.0591003,0.0743506
26,0,0.0770613,0.0771312
26,0,0.0233373,0.0862475
26,0,0.0326011,0.0802327
28,0,0.0669326,0.00938125
28,0,0.0798217,0.00963865
28,0,0.0374683,0.017001
28,0,0.0293724,0.0258399
28,0,0.00714554,0.0340897
28,0,0.0349097,0.0346061
28,0,0.0494111,0.0439131
28,0,0.0770921,0.0596096
28,0,0.017638,0.0628336
28,0,0.0309412,0.0675788
28,0,0.0587898,0.0752132
28,0,0.0765136,0.0765889
28,0,0.0226367,0.0869717
28,0,0.032648,0.0806359
30,0,0.0672038,0.0085481
30,0,0.0795103,0.00882388
30,0,0.0375874,0.0163779
30,0,0.0287152,0.025221
30,0,0.00615269,0.0335182
30,0,0.0351995,0.0353671
30,0,0.0484308,0.0440433
30,0,0.0765857,0.0593577
30,0,0.0173946,0.062812
30,0,0.0302376,0.0667148
30,0,0.0584794,0.0760759
30,0,0.0759659,0.0760466
30,0,0.0219361,0.0876959
30,0,0.032695,0.0810391
32,0,0.067475,0.00771495
32,0,0.0791989,0.00800912
32,0,0.0377065,0.0157547
32,0,0.0280579,0.024602
32,0,0.00515985,0.0329467
32,0,0.0354893,0.0361282
32,0,0.0474504,0.0441735
32,0,0.0760794,0.0591058
32,0,0.0171512,0.0627904
32,0,0.0295341,0.0658509
32,0,0.0581689,0.0769385
32,0,0.0754182,0.0755043
32,0,0.0212355,0.0884201
32,0,0.0327419,0.0814422
34,0,0.0677462,0.0068818
34,0,0.0788875,0.00719435
34,0,0.0378256,0.0151316
34,0,0.0274007,0.0239831
34,0,0.00416701,0.0323752
34,0,0.0357791,0.0368892
34,0,0.0464701,0.0443036
34,0,0.075573,0.0588539
34,0,0.0169078,0.0627688
34,0,0.0288305,0.0649869
34,0,0.0578585,0.0778012
34,0,0.0748705,0.0749619
34,0,0.0205349,0.0891443
34,0,0.0327889,0.0818454
36,0,0.0680173,0.00604865
36,0,0.078576,0.00637959
36,0,0.0379447,0.0145085
36,0,0.0267435,0.0233642
36,0,0.00317416,0.0318037
36,0,0.0360689,0.0376503
36,0,0.0454897,0.0444338
36,0,0.0750666,0.0586021
36,0,0.0166644,0.0627472
36,0,0.028127,0.064123
36,0,0.0575481,0.0786639
36,0,0.0743228,0.0744196
36,0,0.0198343,0.0898685
36,0,0.0328358,0.0822486
36,0,0.0841859,0.089291
38,0,0.0682885,0.0052155
38,0,0.0782646,0.00556483
38,0,0.0380638,0.0138853
38,0,0.0260863,0.0227452
38,0,0.00218132,0.0312322
38,0,0.0363587,0.0384114
38,0,0.0445094,0.044564
38,0,0.0745602,0.0583502
38,0,0.016421,0.0627256
38,0,0.0274234,0.063259
38,0,0.0572376,0.0795265
38,0,0.0737751,0.0738773
38,0,0.0328827,0.0826517
38,0,0.0841861,0.0884056
40,0,0.0684712,0.00437909
40,0,0.0780417,0.00475332
40,0,0.0381829,0.0132622
40,0,0.0254291,0.0221263
40,0,0.00118848,0.0306607
40,0,0.036543,0.0390905
40,0,0.0436345,0.0447761
40,0,0.0740539,0.0580983
40,0,0.0161777,0.062704
40,0,0.0267199,0.0623951
40,0,0.0732274,0.073335
40,0,0.0329297,0.0830549
40,0,0.0569272,0.0803892
40,0,0.084127,0.087503
42,0,0.0682607,0.0035273
42,0,0.0782121,0.0039572
42,0,0.038302,0.012639
42,0,0.0247719,0.0215074
42,0,0.000195634,0.0300892
42,0,0.0360141,0.0391957
42,0,0.0434729,0.0455621
42,0,0.0735475,0.0578464
42,0,0.0159343,0.0626824
42,0,0.0260163,0.0615311
42,0,0.0726797,0.0727927
42,0,0.0329766,0.083458
42,0,0.0566167,0.0812518
42,0,0.0511927,0.089139
42,0,0.0838535,0.0865276
44,0,0.0679465,0.0026712
44,0,0.078486,0.00316539
44,0,0.0384211,0.0120159
44,0,0.000797209,0.0295177
44,0,0.0241147,0.0208884
44,0,0.0352309,0.0390883
44,0,0.0435656,0.0465607
44,0,0.0730411,0.0575945
44,0,0.0156851,0.0626617
44,0,0.0253186,0.0606662
44,0,0.072132,0.0722503
44,0,0.0330236,0.0838612
44,0,0.056594,0.0817201
44,0,0.0505526,0.0887366
44,0,0.0835404,0.0855371
46,0,0.0676323,0.0018151
46,0,0.07876,0.00237358
46,0,0.0385402,0.0113927
46,0,0.00179005,0.0289462
46,0,0.0234575,0.0202695
46,0,0.0344476,0.038981
46,0,0.0436582,0.0475593
46,0,0.0247579,0.0597708
46,0,0.0725347,0.0573426
46,0,0.0152989,0.0626716
46,0,0.0715843,0.071708
46,0,0.0330705,0.0842644
46,0,0.0494446,0.0888955
46,0,0.0570389,0.0816271
46,0,0.0832273,0.0845466
48,0,0.0673182,0.000958994
48,0,0.0790339,0.00158176
48,0,0.0228003,0.0196505
48,0,0.0386593,0.0107696
48,0,0.0027829,0.0283747
48,0,0.0336644,0.0388736
48,0,0.0437509,0.0485579
48,0,0.0242984,0.0588468
48,0,0.0720284,0.0570907
48,0,0.0148114,0.06271
48,0,0.0710366,0.0711657
48,0,0.0331175,0.0846675
48,0,0.0483064,0.0890862
48,0,0.0575143,0.0815023
48,0,0.0829143,0.0835561
50,0,0.067004,0.000102893
50,0,0.0793078,0.00078995
50,0,0.0221431,0.0190316
50,0,0.0387784,0.0101464
50,0,0.00377574,0.0278032
50,0,0.0328812,0.0387663
50,0,0.0438436,0.0495565
50,0,0.0238389,0.0579228
50,0,0.071522,0.0568388
50,0,0.014324,0.0627484
50,0,0.0704889,0.0706234
50,0,0.0331644,0.0850707
50,0,0.0471682,0.0892768
50,0,0.0579896,0.0813776
50,0,0.0826012,0.0825656
52,0,0.0388975,0.00952328
52,0,0.0666898,0.000753209
52,0,0.0795818,1.86275e-06
52,0,0.0214858,0.0184127
52,0,0.00476858,0.0272317
52,0,0.032098,0.0386589
52,0,0.0233793,0.0569989
52,0,0.0439363,0.050555
52,0,0.0710156,0.0565869
52,0,0.0138366,0.0627868
52,0,0.0699413,0.0700811
52,0,0.0332114,0.0854738
52,0,0.0460299,0.0894675
52,0,0.0584649,0.0812528
52,0,0.0822881,0.081575
54,0,0.0390165,0.00890014
54,0,0.0663757,0.00160931
54,0,0.0798557,0.000793675
54,0,0.0208286,0.0177937
54,0,0.00576143,0.0266602
54,0,0.0313148,0.0385516
54,0,0.089475,0.0431275
54,0,0.0229198,0.0560749
54,0,0.0440289,0.0515536
54,0,0.0705092,0.0563351
54,0,0.0133492,0.0628253
54,0,0.0693936,0.0695387
54,0,0.0332583,0.085877
54,0,0.0448917,0.0896582
54,0,0.0589402,0.081128
54,0,0.0819751,0.0805845
56,0,0.0391356,0.00827699
56,0,0.0660615,0.00246541
56,0,0.0801297,0.00158549
56,0,0.0201714,0.0171748
56,0,0.00675427,0.0260887
56,0,0.0305316,0.0384442
56,0,0.0888916,0.0431659
56,0,0.0224603,0.0551509
56,0,0.0441216,0.0525522
56,0,0.0700028,0.0560832
56,0,0.0128618,0.0628637
56,0,0.0688459,0.0689964
56,0,0.081662,0.079594
56,0,0.0333052,0.0862802
56,0,0.0437534,0.0898488
56,0,0.0594155,0.0810032
58,0,0.0392547,0.00765384
58,0,0.0657473,0.00332151
58,0,0.0804036,0.0023773
58,0,0.0195142,0.0165559
58,0,0.00774711,0.0255172
58,0,0.0297483,0.0383369
58,0,0.0883082,0.0432043
58,0,0.0220008,0.0542269
