256,0.357771,1000
0,0,0.0210453,0.0210453
0,0,0.0420907,0.0210453
0,0,0.063136,0.0210453
0,0,0.0841814,0.0210453
0,0,0.105227,0.0210453
0,0,0.126272,0.0210453
0,0,0.147317,0.0210453
0,0,0.168363,0.0210453
0,0,0.0210453,0.0420907
0,0,0.0420907,0.0420907
0,0,0.063136,0.0420907
0,0,0.0841814,0.0420907
0,0,0.105227,0.0420907
0,0,0.126272,0.0420907
0,0,0.147317,0.0420907
0,0,0.168363,0.0420907
0,0,0.0210453,0.063136
0,0,0.0420907,0.063136
0,0,0.063136,0.063136
0,0,0.0841814,0.063136
0,0,0.105227,0.063136
0,0,0.126272,0.063136
0,0,0.147317,0.063136
0,0,0.168363,0.063136
0,0,0.0210453,0.0841814
0,0,0.0420907,0.0841814
0,0,0.063136,0.0841814
0,0,0.0841814,0.0841814
0,0,0.105227,0.0841814
0,0,0.126272,0.0841814
0,0,0.147317,0.0841814
0,0,0.168363,0.0841814
0,0,0.0210453,0.105227
0,0,0.0420907,0.105227
0,0,0.063136,0.105227
0,0,0.0841814,0.105227
0,0,0.105227,0.105227
0,0,0.126272,0.105227
0,0,0.147317,0.105227
0,0,0.168363,0.105227
0,0,0.0210453,0.126272
0,0,0.0420907,0.126272
0,0,0.063136,0.126272
0,0,0.0841814,0.126272
0,0,0.105227,0.126272
0,0,0.126272,0.126272
0,0,0.147317,0.126272
0,0,0.168363,0.126272
0,0,0.0210453,0.147317
0,0,0.0420907,0.147317
0,0,0.063136,0.147317
0,0,0.0841814,0.147317
0,0,0.105227,0.147317
0,0,0.126272,0.147317
0,0,0.147317,0.147317
0,0,0.168363,0.147317
0,0,0.0210453,0.168363
0,0,0.0420907,0.168363
0,0,0.063136,0.168363
0,0,0.0841814,0.168363
0,0,0.105227,0.168363
0,0,0.126272,0.168363
0,0,0.147317,0.168363
0,0,0.168363,0.168363
0,0,0.0210453,0.189408
0,0,0.0420907,0.189408
0,0,0.063136,0.189408
0,0,0.0841814,0.189408
0,0,0.105227,0.189408
0,0,0.126272,0.189408
0,0,0.147317,0.189408
0,0,0.168363,0.189408
0,0,0.0210453,0.210453
0,0,0.0420907,0.210453
0,0,0.063136,0.210453
0,0,0.0841814,0.210453
0,0,0.105227,0.210453
0,0,0.126272,0.210453
0,0,0.147317,0.210453
0,0,0.168363,0.210453
0,0,0.0210453,0.231499
0,0,0.0420907,0.231499
0,0,0.063136,0.231499
0,0,0.0841814,0.231499
0,0,0.105227,0.231499
0,0,0.126272,0.231499
0,0,0.147317,0.231499
0,0,0.168363,0.231499
0,0,0.0210453,0.252544
0,0,0.0420907,0.252544
0,0,0.063136,0.252544
0,0,0.0841814,0.252544
0,0,0.105227,0.252544
0,0,0.126272,0.252544
0,0,0.147317,0.252544
0,0,0.168363,0.252544
0,0,0.0210453,0.273589
0,0,0.0420907,0.273589
0,0,0.063136,0.273589
0,0,0.0841814,0.273589
0,0,0.105227,0.273589
0,0,0.126272,0.273589
0,0,0.147317,0.273589
0,0,0.168363,0.273589
0,0,0.0210453,0.294635
0,0,0.0420907,0.294635
0,0,0.063136,0.294635
0,0,0.0841814,0.294635
0,0,0.105227,0.294635
0,0,0.126272,0.294635
0,0,0.147317,0.294635
0,0,0.168363,0.294635
0,0,0.0210453,0.31568
0,0,0.0420907,0.31568
0,0,0.063136,0.31568
0,0,0.0841814,0.31568
0,0,0.105227,0.31568
0,0,0.126272,0.31568
0,0,0.147317,0.31568
0,0,0.168363,0.31568
0,0,0.0210453,0.336726
0,0,0.0420907,0.336726
0,0,0.063136,0.336726
0,0,0.0841814,0.336726
0,0,0.105227,0.336726
0,0,0.126272,0.336726
0,0,0.147317,0.336726
0,0,0.168363,0.336726
2,0,0.0218439,0.0214931
2,0,0.0427906,0.0203098
2,0,0.0635751,0.0216921
2,0,0.0835228,0.0211213
2,0,0.106137,0.0203632
2,0,0.125406,0.0210919
2,0,0.147303,0.0207114
2,0,0.169185,0.0202898
2,0,0.0216144,0.0429286
2,0,0.0427048,0.0418272
2,0,0.0639886,0.0420689
2,0,0.0832527,0.0416417
2,0,0.10428,0.0414792
2,0,0.125599,0.0422707
2,0,0.14665,0.042715
2,0,0.167726,0.0416384
2,0,0.0205235,0.0631329
2,0,0.0430605,0.0623569
2,0,0.063895,0.0633866
2,0,0.0840018,0.062444
2,0,0.105273,0.062885
2,0,0.126348,0.063198
2,0,0.147176,0.0631855
2,0,0.168277,0.0637515
2,0,0.0208883,0.0833535
2,0,0.0412761,0.0840371
2,0,0.0637528,0.0848352
2,0,0.0838922,0.0851629
2,0,0.105286,0.0833165
2,0,0.126615,0.0840002
2,0,0.14698,0.0848865
2,0,0.169057,0.0844019
2,0,0.0210944,0.104984
2,0,0.0423399,0.105822
2,0,0.0624281,0.104625
2,0,0.083418,0.106012
2,0,0.104739,0.104986
2,0,0.126649,0.105166
2,0,0.147621,0.105599
2,0,0.16845,0.104491
2,0,0.0208169,0.126991
2,0,0.0420256,0.12688
2,0,0.0625279,0.125912
2,0,0.0851504,0.127018
2,0,0.105313,0.125619
2,0,0.126108,0.125432
2,0,0.147953,0.126968
2,0,0.16899,0.126898
2,0,0.0208806,0.147603
2,0,0.0426363,0.147286
2,0,0.0639831,0.146545
2,0,0.0850295,0.146824
2,0,0.105274,0.147332
2,0,0.126362,0.148021
2,0,0.147549,0.147674
2,0,0.168446,0.146458
2,0,0.0209347,0.168065
2,0,0.0411943,0.168669
2,0,0.0631681,0.167744
2,0,0.0839317,0.169045
2,0,0.105244,0.168388
2,0,0.126977,0.167836
2,0,0.147608,0.167951
2,0,0.167674,0.16742
2,0,0.0214816,0.18918
2,0,0.0411066,0.18993
2,0,0.0621924,0.18962
2,0,0.0846121,0.188813
2,0,0.106,0.188961
2,0,0.126187,0.18971
2,0,0.147091,0.189221
2,0,0.168936,0.189681
2,0,0.0216169,0.209631
2,0,0.105818,0.209807
2,0,0.127017,0.20987
2,0,0.0423172,0.210176
2,0,0.0635643,0.210765
2,0,0.0847658,0.211226
2,0,0.146989,0.210175
2,0,0.168887,0.211067
2,0,0.0205666,0.231194
2,0,0.0422999,0.232213
2,0,0.0624435,0.230991
2,0,0.084703,0.231692
