256,0.357771,1000
0,0,0.0210453,0.0210453
0,0,0.0420907,0.0210453
0,0,0.063136,0.0210453
0,0,0.0841814,0.0210453
0,0,0.105227,0.0210453
0,0,0.126272,0.0210453
0,0,0.147317,0.0210453
0,0,0.168363,0.0210453
0,0,0.0210453,0.0420907
0,0,0.0420907,0.0420907
0,0,0.063136,0.0420907
0,0,0.0841814,0.0420907
0,0,0.105227,0.0420907
0,0,0.126272,0.0420907
0,0,0.147317,0.0420907
0,0,0.168363,0.0420907
0,0,0.0210453,0.063136
0,0,0.0420907,0.063136
0,0,0.063136,0.063136
0,0,0.0841814,0.063136
0,0,0.105227,0.063136
0,0,0.126272,0.063136
0,0,0.147317,0.063136
0,0,0.168363,0.063136
0,0,0.0210453,0.0841814
0,0,0.0420907,0.0841814
0,0,0.063136,0.0841814
0,0,0.0841814,0.0841814
0,0,0.105227,0.0841814
0,0,0.126272,0.0841814
0,0,0.147317,0.0841814
0,0,0.168363,0.0841814
0,0,0.0210453,0.105227
0,0,0.0420907,0.105227
0,0,0.063136,0.105227
0,0,0.0841814,0.105227
0,0,0.105227,0.105227
0,0,0.126272,0.105227
0,0,0.147317,0.105227
0,0,0.168363,0.105227
0,0,0.0210453,0.126272
0,0,0.0420907,0.126272
0,0,0.063136,0.126272
0,0,0.0841814,0.126272
0,0,0.105227,0.126272
0,0,0.126272,0.126272
0,0,0.147317,0.126272
0,0,0.168363,0.126272
0,0,0.0210453,0.147317
0,0,0.0420907,0.147317
0,0,0.063136,0.147317
0,0,0.0841814,0.147317
0,0,0.105227,0.147317
0,0,0.126272,0.147317
0,0,0.147317,0.147317
0,0,0.168363,0.147317
0,0,0.0210453,0.168363
0,0,0.0420907,0.168363
0,0,0.063136,0.168363
0,0,0.0841814,0.168363
0,0,0.105227,0.168363
0,0,0.126272,0.168363
0,0,0.147317,0.168363
0,0,0.168363,0.168363
2,0,0.0212959,0.0216287
2,0,0.0418095,0.0205002
2,0,0.0622745,0.0205249
2,0,0.0840618,0.0205864
2,0,0.105465,0.0213355
2,0,0.126089,0.0219044
2,0,0.148158,0.0217784
2,0,0.169321,0.0201403
2,0,0.0209474,0.0429979
2,0,0.0429397,0.0422518
2,0,0.0634767,0.0419667
2,0,0.0834393,0.0420111
2,0,0.104229,0.0429457
2,0,0.125426,0.0419725
2,0,0.146494,0.0424798
2,0,0.168353,0.0411163
2,0,0.0218578,0.0639286
2,0,0.0419713,0.0632673
2,0,0.0629025,0.0638394
2,0,0.0851269,0.0625148
2,0,0.105615,0.0632227
2,0,0.12608,0.0629
2,0,0.146926,0.0621463
2,0,0.16862,0.0635507
2,0,0.0206626,0.0832063
2,0,0.0415842,0.0841666
2,0,0.0627972,0.0836326
2,0,0.0839425,0.0850569
2,0,0.105133,0.0851264
2,0,0.126987,0.0838867
2,0,0.146938,0.0843332
2,0,0.168307,0.0846832
2,0,0.0204831,0.105328
2,0,0.0429923,0.105285
2,0,0.0623237,0.104647
2,0,0.0832699,0.105317
2,0,0.106203,0.105366
2,0,0.125669,0.106097
2,0,0.14739,0.105769
2,0,0.169179,0.105121
2,0,0.0215143,0.125754
2,0,0.0416029,0.126919
2,0,0.0639873,0.126452
2,0,0.084925,0.126883
2,0,0.105854,0.125312
2,0,0.125528,0.12698
2,0,0.148076,0.126725
2,0,0.168123,0.126388
2,0,0.0201805,0.14722
2,0,0.0418237,0.148205
2,0,0.063877,0.147358
2,0,0.0845431,0.147632
2,0,0.106219,0.147538
2,0,0.125874,0.146598
2,0,0.14694,0.148113
2,0,0.169106,0.147377
2,0,0.0218579,0.168113
2,0,0.0430275,0.169248
2,0,0.0638837,0.168838
2,0,0.0841058,0.168897
2,0,0.105214,0.167795
2,0,0.126983,0.169342
2,0,0.148,0.168684
2,0,0.167665,0.169129
4,0,0.0415282,0.0199551
4,0,0.170278,0.0192353
4,0,0.0215464,0.022212
4,0,0.0614129,0.0200044
4,0,0.0839423,0.0201275
4,0,0.105702,0.0216256
4,0,0.125905,0.0227634
4,0,0.148998,0.0225114
4,0,0.0208495,0.0439051
4,0,0.0437888,0.0424129
4,0,0.0638174,0.0418426
4,0,0.0826973,0.0419315
4,0,0.103232,0.0438007
4,0,0.12458,0.0418544
4,0,0.14567,0.042869
4,0,0.168344,0.040142
4,0,0.0226702,0.0647212
4,0,0.0418519,0.0633986
4,0,0.062669,0.0645427
4,0,0.0860725,0.0618936
4,0,0.106003,0.0633094
4,0,0.125887,0.062664
4,0,0.146534,0.0611566
4,0,0.168876,0.0639653
4,0,0.0202799,0.0822311
4,0,0.0410777,0.0841518
4,0,0.0624583,0.0830837
4,0,0.0837037,0.0859323
4,0,0.10504,0.0860713
4,0,0.127701,0.0835921
4,0,0.146559,0.0844851
4,0,0.168251,0.085185
4,0,0.0199209,0.105429
4,0,0.043894,0.105342
4,0,0.0615113,0.104067
4,0,0.0823585,0.105408
4,0,0.10718,0.105505
4,0,0.125067,0.106967
4,0,0.147463,0.106311
4,0,0.169995,0.105015
4,0,0.0219833,0.125236
4,0,0.0411152,0.127566
4,0,0.0648386,0.126633
4,0,0.0856686,0.127493
4,0,0.106481,0.124351
4,0,0.124784,0.127687
4,0,0.148835,0.127177
4,0,0.167884,0.126504
4,0,0.0193156,0.147122
4,0,0.0415568,0.149092
4,0,0.0646179,0.147399
4,0,0.0849049,0.147947
4,0,0.107212,0.147758
4,0,0.125477,0.145879
4,0,0.146562,0.14891
4,0,0.16985,0.147437
4,0,0.0226705,0.167863
4,0,0.0646314,0.169314
4,0,0.0840302,0.169431
4,0,0.105202,0.167227
4,0,0.148682,0.169005
4,0,0.166968,0.169894
4,0,0.0439643,0.170133
4,0,0.127694,0.17032
6,0,0.041247,0.01941
6,0,0.0605514,0.0194839
6,0,0.0838228,0.0196685
6,0,0.171236,0.0183302
6,0,0.0217969,0.0227953
6,0,0.10594,0.0219158
6,0,0.125722,0.0236225
6,0,0.149838,0.0232444
6,0,0.168335,0.0391676
6,0,0.0207515,0.0448123
6,0,0.0446378,0.042574
6,0,0.0641581,0.0417186
6,0,0.0819552,0.0418519
6,0,0.102234,0.0446558
6,0,0.123733,0.0417362
6,0,0.144846,0.0432581
