256,0.357771,1000
0,0,0.0210453,0.0210453
0,0,0.0420907,0.0210453
0,0,0.063136,0.0210453
0,0,0.0841814,0.0210453
0,0,0.105227,0.0210453
0,0,0.126272,0.0210453
0,0,0.147317,0.0210453
0,0,0.168363,0.0210453
0,0,0.0210453,0.0420907
0,0,0.0420907,0.0420907
0,0,0.063136,0.0420907
0,0,0.0841814,0.0420907
0,0,0.105227,0.0420907
0,0,0.126272,0.0420907
0,0,0.147317,0.0420907
0,0,0.168363,0.0420907
0,0,0.0210453,0.063136
0,0,0.0420907,0.063136
0,0,0.063136,0.063136
0,0,0.0841814,0.063136
0,0,0.105227,0.063136
0,0,0.126272,0.063136
0,0,0.147317,0.063136
0,0,0.168363,0.063136
0,0,0.0210453,0.0841814
0,0,0.0420907,0.0841814
0,0,0.063136,0.0841814
0,0,0.0841814,0.0841814
0,0,0.105227,0.0841814
0,0,0.126272,0.0841814
0,0,0.147317,0.0841814
0,0,0.168363,0.0841814
2,0,0.0214492,0.021736
2,0,0.0421166,0.0209081
2,0,0.0630072,0.021487
2,0,0.0837328,0.0207207
2,0,0.105914,0.0201996
2,0,0.126296,0.0217406
2,0,0.14706,0.0213107
2,0,0.16792,0.020941
2,0,0.0215733,0.042105
2,0,0.041388,0.0426877
2,0,0.0627316,0.0418157
2,0,0.0846761,0.0412929
2,0,0.104452,0.0413629
2,0,0.126782,0.0426652
2,0,0.148244,0.0426158
2,0,0.167951,0.0426445
2,0,0.0219567,0.0624895
2,0,0.0429134,0.0632875
2,0,0.0629811,0.0621762
2,0,0.0833253,0.062631
2,0,0.105678,0.0622261
2,0,0.125716,0.0622063
2,0,0.147112,0.062325
2,0,0.16805,0.0628241
2,0,0.0203823,0.0851492
2,0,0.0418842,0.0836894
2,0,0.0636897,0.0842782
2,0,0.0841438,0.0851452
2,0,0.104662,0.0835484
2,0,0.126429,0.0832748
2,0,0.146897,0.0847104
2,0,0.168998,0.0847256
4,0,0.1066,0.0193538
4,0,0.0218531,0.0224266
4,0,0.0421425,0.0207708
4,0,0.0628783,0.0219286
4,0,0.0832843,0.020396
4,0,0.126319,0.0224358
4,0,0.146803,0.021576
4,0,0.167478,0.0208367
4,0,0.0221013,0.0421194
4,0,0.0406853,0.0432847
4,0,0.0623272,0.0415407
4,0,0.0851708,0.0404952
4,0,0.103677,0.0406352
4,0,0.127291,0.0432398
4,0,0.14917,0.0431409
4,0,0.167539,0.0431982
4,0,0.022868,0.0618429
4,0,0.0437361,0.0634389
4,0,0.0628262,0.0612164
4,0,0.0824692,0.062126
4,0,0.10613,0.0613162
4,0,0.12516,0.0612766
4,0,0.146907,0.0615141
4,0,0.167737,0.0625122
4,0,0.0197193,0.0861169
4,0,0.0416778,0.0831974
4,0,0.0642434,0.0843749
4,0,0.0841062,0.086109
4,0,0.104098,0.0829155
4,0,0.126586,0.0823682
4,0,0.146477,0.0852393
4,0,0.169632,0.0852698
6,0,0.107287,0.0185081
6,0,0.0222569,0.0231172
6,0,0.0421683,0.0206336
6,0,0.0627494,0.0223702
6,0,0.0828358,0.0200713
6,0,0.126343,0.0231311
6,0,0.146546,0.0218413
6,0,0.167035,0.0207324
6,0,0.0856655,0.0396974
6,0,0.102901,0.0399074
6,0,0.0226293,0.0421337
6,0,0.0399826,0.0438817
6,0,0.0619228,0.0412657
6,0,0.127801,0.0438143
6,0,0.150096,0.043666
6,0,0.167127,0.043752
6,0,0.0237793,0.0611964
6,0,0.0445587,0.0635903
6,0,0.0626712,0.0602566
6,0,0.0816131,0.061621
6,0,0.106581,0.0604063
6,0,0.124603,0.0603469
6,0,0.146701,0.0607031
6,0,0.167423,0.0622003
6,0,0.0190562,0.0870847
6,0,0.0414714,0.0827054
6,0,0.064797,0.0844717
6,0,0.0840686,0.0870729
6,0,0.103533,0.0822825
6,0,0.126743,0.0814617
6,0,0.146057,0.0857683
6,0,0.170267,0.085814
8,0,0.0823872,0.0197466
8,0,0.107974,0.0176624
8,0,0.0226608,0.0238078
8,0,0.0421942,0.0204963
8,0,0.0626205,0.0228118
8,0,0.126367,0.0238263
8,0,0.146288,0.0221066
8,0,0.166593,0.0206281
8,0,0.0861602,0.0388997
8,0,0.102126,0.0391796
8,0,0.0231573,0.042148
8,0,0.0392799,0.0444787
8,0,0.0615184,0.0409906
8,0,0.12831,0.0443889
8,0,0.151023,0.0441911
8,0,0.166715,0.0443058
8,0,0.0625163,0.0592968
8,0,0.107033,0.0594964
8,0,0.124047,0.0594171
8,0,0.146496,0.0598921
8,0,0.0246906,0.0605498
8,0,0.0453814,0.0637418
8,0,0.080757,0.061116
8,0,0.16711,0.0618883
8,0,0.0183932,0.0880525
8,0,0.0412649,0.0822134
8,0,0.0653507,0.0845685
8,0,0.0840311,0.0880367
8,0,0.102969,0.0816495
8,0,0.1269,0.0805551
8,0,0.145637,0.0862973
8,0,0.170902,0.0863583
10,0,0.0819387,0.0194219
10,0,0.108661,0.0168166
10,0,0.0230646,0.0244984
10,0,0.0422201,0.0203591
10,0,0.0624916,0.0232534
10,0,0.12639,0.0245216
10,0,0.146031,0.0223719
10,0,0.166151,0.0205238
10,0,0.0866549,0.0381019
10,0,0.101351,0.0384519
10,0,0.0236853,0.0421623
10,0,0.0385772,0.0450757
10,0,0.061114,0.0407156
10,0,0.12882,0.0449634
10,0,0.151949,0.0447162
10,0,0.166303,0.0448596
10,0,0.0256019,0.0599033
10,0,0.0623614,0.0583369
10,0,0.107484,0.0585865
10,0,0.123491,0.0584874
10,0,0.14629,0.0590811
10,0,0.0462041,0.0638932
10,0,0.0799009,0.060611
10,0,0.166797,0.0615764
10,0,0.127057,0.0796485
10,0,0.0177301,0.0890202
10,0,0.0410585,0.0817213
10,0,0.0659044,0.0846653
10,0,0.0839935,0.0890005
10,0,0.102404,0.0810166
10,0,0.145217,0.0868262
10,0,0.171536,0.0869025
12,0,0.0814901,0.0190972
12,0,0.109348,0.0159709
12,0,0.0234685,0.025189
12,0,0.042246,0.0202218
12,0,0.0623627,0.023695
12,0,0.126414,0.0252168
12,0,0.145774,0.0226372
12,0,0.165708,0.0204195
12,0,0.0871496,0.0373041
12,0,0.100576,0.0377241
12,0,0.0242133,0.0421767
